plant_id,generator_id,unit_id,technology,operating_date,planned_retirement_date,capacity_mwh,capacity_mw,heat_rate_mmbtu_mwh,min_power,minimum_load_mw,capacity_factor,plant_name,county,prime_mover,zone,fixed_o_m_mwh,fixed_o_m_mw,variable_o_m_mwh
61014,1,61014_1,Onshore Wind Turbine,11/1/12,,,75,10.34,0.06,4.5,,Pattern Santa Isabel LLC,Santa Isabel,WT,South,0,43000,0
61034,CT1,61034_CT1,Natural Gas Fired Combined Cycle,9/1/18,,,183,11.87,0.45,82.35,,EcoElectrica,Penuelas,CT,South,0,9787,3.61102
61034,CT2,61034_CT2,Natural Gas Fired Combined Cycle,3/1/00,,,183,11.87,0.45,82.35,,EcoElectrica,Penuelas,CT,South,0,9787,3.61102
61034,STG,61034_STG,Natural Gas Fired Combined Cycle,3/1/00,,,214,11.87,0.45,96.3,,EcoElectrica,Penuelas,CA,South,0,9787,3.61102
61036,ILUMI,61036_ILUMI,Solar Photovoltaic,11/1/12,11/1/42,,17.5,10.34,0.01,0.175,,AES ILUMINA,Guayama,PV,South,0,22623,0
61062,CLSF,61062_CLSF,Solar Photovoltaic,2/1/20,,,10,10.34,0.01,0.1,,Coto Laurel Solar Farm,Ponce,PV,South,0,22623,0
61063,MATNO,61063_MATNO,Solar Photovoltaic,1/1/11,,,3.6,10.34,0.01,0.036,,Martino,Ponce,PV,South,0,22623,0
61064,PFGY,61064_PFGY,Solar Photovoltaic,1/1/16,,,2.7,10.34,0.01,0.027,,Pfizer Guayama,Guayama,PV,South,0,22623,0
61065,PFVB,61065_PFVB,Solar Photovoltaic,1/1/16,,,3.1,10.34,0.01,0.031,,Pfizer Vega Baja,Vega Baja,PV,North,0,22623,0
61083,BAT1,61083_BAT1,Batteries,12/1/16,,4.2,21.8,10.34,0,0,,Oriana Energy Hybrid,Isabela,BA,West,9236,6235,0.03
61083,G001,61083_G001,Solar Photovoltaic,12/1/16,,,45,10.34,0.01,0.45,,Oriana Energy Hybrid,Isabela,PV,West,0,22623,0
61102,UNIT1,61102_UNIT1,Solar Photovoltaic,4/1/14,,,5,10.34,0.01,0.05,,"GASNA 18P, LLC",San Juan,PV,North,0,22623,0
61109,PE558,61109_PE558,Landfill Gas,10/1/16,,,2.4,10.34,0.47,1.128,,Fajardo MSWL,Fajardo,IC,East,0,21000,5.31893
