South,North,East
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
0.15,0.15,0.15
