South,North,East,West
0.635,0.614,0.629,0.693
0.628,0.635,0.654,0.698
0.632,0.659,0.678,0.701
0.649,0.672,0.694,0.724
0.676,0.703,0.717,0.753
0.698,0.73,0.737,0.773
0.718,0.746,0.746,0.791
0.737,0.744,0.737,0.809
0.763,0.754,0.743,0.828
0.77,0.767,0.759,0.832
0.772,0.776,0.767,0.825
0.75,0.78,0.777,0.805
0.799,0.811,0.814,0.818
0.842,0.836,0.839,0.828
0.819,0.822,0.825,0.791
0.774,0.784,0.79,0.735
0.731,0.743,0.747,0.683
0.706,0.704,0.707,0.658
0.712,0.685,0.687,0.67
0.732,0.683,0.68,0.698
0.751,0.677,0.671,0.727
0.735,0.635,0.635,0.74
0.688,0.601,0.603,0.728
0.655,0.603,0.614,0.724
0.652,0.611,0.625,0.72
0.636,0.607,0.625,0.701
0.625,0.591,0.6,0.685
0.625,0.596,0.602,0.676
0.622,0.602,0.608,0.665
0.622,0.61,0.614,0.661
0.623,0.622,0.627,0.664
0.622,0.632,0.635,0.67
0.618,0.636,0.644,0.678
0.614,0.651,0.657,0.691
0.62,0.673,0.683,0.707
0.615,0.692,0.705,0.72
0.696,0.749,0.765,0.772
0.792,0.817,0.825,0.814
0.801,0.828,0.835,0.805
0.778,0.809,0.817,0.762
0.742,0.77,0.783,0.7
0.705,0.736,0.751,0.628
0.692,0.721,0.735,0.582
0.703,0.724,0.735,0.584
0.723,0.726,0.739,0.624
0.738,0.732,0.745,0.674
0.736,0.726,0.741,0.718
0.723,0.726,0.741,0.743
0.701,0.72,0.732,0.753
0.668,0.715,0.725,0.732
0.645,0.698,0.704,0.711
0.622,0.671,0.674,0.683
0.608,0.653,0.654,0.661
0.603,0.645,0.643,0.655
0.614,0.654,0.654,0.665
0.628,0.675,0.676,0.68
0.654,0.694,0.694,0.706
0.681,0.701,0.698,0.739
0.711,0.701,0.692,0.773
0.709,0.691,0.684,0.781
0.768,0.732,0.731,0.805
0.799,0.76,0.758,0.803
0.761,0.731,0.733,0.745
0.704,0.692,0.696,0.66
0.648,0.65,0.651,0.57
0.601,0.617,0.611,0.493
0.561,0.596,0.58,0.425
0.508,0.562,0.548,0.364
0.45,0.514,0.501,0.316
0.405,0.471,0.457,0.29
0.41,0.465,0.457,0.312
0.429,0.465,0.474,0.351
0.442,0.47,0.49,0.377
0.469,0.474,0.498,0.433
0.512,0.494,0.52,0.507
0.52,0.512,0.537,0.533
0.519,0.551,0.565,0.52
0.507,0.576,0.58,0.494
0.479,0.585,0.589,0.458
0.461,0.569,0.567,0.445
0.479,0.557,0.556,0.474
0.527,0.581,0.584,0.531
0.576,0.614,0.623,0.584
0.59,0.639,0.656,0.59
0.648,0.692,0.706,0.597
0.735,0.745,0.754,0.636
0.755,0.753,0.75,0.644
0.742,0.737,0.725,0.614
0.718,0.718,0.698,0.576
0.692,0.702,0.675,0.537
0.673,0.691,0.662,0.516
0.66,0.672,0.648,0.505
0.64,0.654,0.636,0.483
0.573,0.603,0.598,0.427
0.467,0.525,0.548,0.365
0.402,0.485,0.526,0.331
0.384,0.468,0.523,0.341
0.419,0.501,0.559,0.386
0.485,0.57,0.614,0.427
0.533,0.619,0.645,0.454
0.559,0.636,0.658,0.491
0.595,0.641,0.664,0.551
0.598,0.617,0.642,0.592
0.596,0.618,0.637,0.6
0.574,0.628,0.635,0.573
0.559,0.63,0.635,0.551
0.544,0.589,0.604,0.537
0.512,0.545,0.573,0.508
0.537,0.52,0.562,0.515
0.596,0.562,0.587,0.559
0.618,0.567,0.578,0.576
0.639,0.581,0.584,0.563
0.642,0.596,0.596,0.526
0.637,0.608,0.604,0.483
0.632,0.627,0.622,0.442
0.63,0.642,0.638,0.428
0.641,0.651,0.651,0.442
0.628,0.631,0.629,0.436
0.595,0.594,0.602,0.429
0.542,0.542,0.569,0.41
0.515,0.488,0.527,0.41
0.506,0.448,0.491,0.43
0.494,0.431,0.477,0.439
0.483,0.417,0.458,0.436
0.471,0.424,0.456,0.433
0.453,0.438,0.462,0.415
0.421,0.434,0.456,0.385
0.402,0.434,0.453,0.362
0.402,0.453,0.461,0.345
0.399,0.451,0.459,0.348
0.418,0.449,0.453,0.377
0.423,0.439,0.434,0.409
0.457,0.442,0.438,0.442
0.524,0.478,0.468,0.486
0.517,0.467,0.458,0.456
0.488,0.445,0.445,0.387
0.449,0.41,0.416,0.302
0.387,0.361,0.375,0.215
0.327,0.329,0.343,0.157
0.283,0.312,0.328,0.134
0.268,0.322,0.332,0.141
0.257,0.341,0.342,0.157
0.283,0.376,0.374,0.191
0.311,0.409,0.413,0.226
0.338,0.428,0.442,0.261
0.35,0.426,0.448,0.291
0.342,0.403,0.431,0.312
0.327,0.379,0.41,0.319
0.327,0.373,0.404,0.338
0.353,0.391,0.418,0.37
0.393,0.433,0.454,0.377
0.412,0.475,0.497,0.362
0.399,0.474,0.512,0.347
0.403,0.456,0.506,0.369
0.439,0.469,0.521,0.411
0.46,0.479,0.527,0.434
0.516,0.497,0.545,0.477
0.595,0.57,0.598,0.545
0.605,0.59,0.606,0.542
0.587,0.598,0.608,0.488
0.54,0.596,0.606,0.399
0.473,0.579,0.595,0.303
0.414,0.57,0.584,0.237
0.376,0.583,0.59,0.203
0.351,0.594,0.597,0.185
0.325,0.573,0.57,0.181
0.316,0.527,0.524,0.207
0.349,0.516,0.513,0.274
0.372,0.495,0.486,0.336
0.36,0.457,0.447,0.365
0.359,0.428,0.417,0.384
0.362,0.41,0.401,0.39
0.391,0.412,0.402,0.417
0.445,0.45,0.434,0.459
0.505,0.505,0.487,0.508
0.562,0.553,0.533,0.562
0.599,0.569,0.549,0.609
0.608,0.554,0.538,0.628
0.59,0.523,0.514,0.618
0.537,0.48,0.483,0.573
0.5,0.432,0.442,0.544
0.498,0.461,0.465,0.501
0.46,0.451,0.447,0.427
0.405,0.414,0.411,0.348
0.351,0.383,0.378,0.274
0.303,0.359,0.352,0.21
0.268,0.352,0.341,0.168
